ID_Estudiante,Universidad,Edad,Sexo,Semestre,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,A1_Interrupcion,A2_Desaprobados,A3_Retirados,A4,L2_Inactividad,Calidad_Percibida,Flag_Inconsistencia,Score_Critico,Score_Tecnico,Score_Participativo,Score_AMI_Global,Riesgo_Total,BC1,BC2,BC3,BC4,BT1,BT2,BT3,BT4,BP1,BP2,BP3,BP4
STU_0028,UNI,22,Femenino,6to,3,2,2,1,1,1,2,2,2,1,2,2,1,2,1,1,1,2,1,2,2,2,1,1,1,1,1,2,1,2,Sí,En dos o más cursos,"Sí, en más de una ocasión",1,Frecuentemente,2,False,1.7,1.5,1.4,1.5333333333333334,1,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.
STU_0029,UNI,19,Masculino,6to,4,3,3,3,4,3,3,3,4,4,3,2,3,3,4,3,2,3,4,3,2,2,3,3,2,2,3,2,2,2,No,En un curso,"Sí, en un curso",3,Algunas veces,3,False,3.4,3.0,2.3,2.9,1,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.
STU_0030,UNMSM,20,Masculino,6to,3,2,2,3,3,4,3,2,2,3,3,4,2,4,4,4,4,4,4,5,4,4,3,2,3,4,3,3,3,3,Sí,En dos o más cursos,"Sí, en un curso",2,Frecuentemente,2,False,2.7,3.8,3.2,3.2333333333333334,1,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.
STU_0031,UNI,14,Femenino,8vo,2,2,1,2,2,1,1,2,2,1,1,1,2,1,1,1,1,1,1,1,2,1,3,3,3,1,2,3,2,2,Sí,En dos o más cursos,"Sí, en más de una ocasión",1,Frecuentemente,2,False,1.6,1.1,2.2,1.6333333333333333,1,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.
STU_0032,UNMSM,18,Femenino,5to,4,5,5,4,4,3,4,4,4,4,4,5,4,4,5,5,5,5,4,5,4,3,4,4,3,4,4,4,4,4,No,Nunca,No,5,Nunca,3,False,4.1,4.6,3.8,4.166666666666667,0,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.
STU_0033,UNMSM,20,Masculino,6to,2,2,1,2,2,2,2,1,1,3,2,3,3,3,3,2,2,3,3,2,2,2,2,2,4,2,2,3,3,3,Sí,En dos o más cursos,"Sí, en más de una ocasión",1,Frecuentemente,4,False,1.8,2.6,2.5,2.3,1,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.
STU_0034,UNFV,18,Femenino,6to,4,2,3,2,2,2,2,3,3,3,4,4,3,3,4,4,3,3,3,4,4,3,3,2,3,3,4,3,4,3,No,En dos o más cursos,"Sí, en más de una ocasión",1,Frecuentemente,1,False,2.6,3.5,3.2,3.1,1,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.
STU_0035,UNFV,24,Femenino,6to,3,2,2,3,3,3,3,2,3,3,2,3,3,2,2,3,3,2,2,2,3,3,3,4,3,3,3,2,2,3,No,En dos o más cursos,"Sí, en un curso",1,Algunas veces,3,False,2.7,2.4,2.9,2.6666666666666665,1,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.
STU_0036,UNFV,18,Femenino,7mo,2,2,3,3,1,2,1,1,2,2,2,1,2,1,1,2,1,2,2,1,1,1,2,2,2,2,2,1,1,1,Sí,En dos o más cursos,"Sí, en más de una ocasión",1,Frecuentemente,3,False,1.9,1.5,1.5,1.6333333333333333,1,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.
STU_0037,UNMSM,20,Masculino,7mo,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,3,3,3,3,2,3,3,3,2,3,3,2,3,3,3,Sí,En dos o más cursos,"Sí, en más de una ocasión",1,Frecuentemente,3,False,3.0,2.4,2.8,2.7333333333333334,1,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.
STU_0038,UNMSM,21,Masculino,8vo,3,3,4,4,3,4,3,3,3,3,2,1,2,2,2,2,2,1,3,3,2,1,2,2,2,2,1,1,1,1,Sí,En dos o más cursos,"Sí, en más de una ocasión",1,Frecuentemente,3,False,3.3,2.0,1.5,2.2666666666666666,1,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.
STU_0039,UNI,23,Masculino,5to,3,2,2,2,2,3,2,3,4,1,2,3,3,3,3,4,3,3,2,2,2,1,3,3,1,2,2,3,2,2,Sí,En un curso,"Sí, en más de una ocasión",2,Algunas veces,4,False,2.4,2.8,2.1,2.433333333333333,1,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.
STU_0040,UNI,18,Masculino,8vo,2,2,2,2,2,2,1,1,3,3,3,3,2,2,3,4,3,2,3,2,4,4,3,4,3,3,4,4,4,3,No,En un curso,"Sí, en un curso",4,Algunas veces,3,False,2.0,2.7,3.6,2.7666666666666666,1,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.
STU_0041,UNMSM,23,Masculino,5to,4,4,4,4,5,4,4,4,4,4,3,4,4,3,2,3,3,3,3,4,4,4,3,4,4,3,4,4,5,3,No,Nunca,No,4,Nunca,3,False,4.1,3.2,3.8,3.7,0,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.
STU_0042,UNI,21,Femenino,7mo,2,3,3,2,1,3,2,1,2,2,3,3,2,4,3,3,3,3,2,3,3,4,4,3,3,4,3,3,3,4,Sí,En dos o más cursos,"Sí, en más de una ocasión",2,Frecuentemente,4,False,2.1,2.9,3.4,2.8,1,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.
STU_0043,UNMSM,19,Masculino,7mo,3,3,3,2,3,3,3,4,3,3,3,3,4,4,3,2,3,3,3,2,1,2,3,2,2,2,3,3,2,2,No,En un curso,"Sí, en un curso",3,Rara vez,3,False,3.0,3.0,2.2,2.7333333333333334,1,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.,Sin respuesta por error técnico.
